Txn Hash,Method,Block,Date Time (UTC),From,Is SELF,To,Value (ETH),Txn Fee
0xd604a7e885901aa96f73909d289e3cead1d6727094eae0dbf2ac1996e22d185f,Transfer,19384544,2024-03-07 16:39:23,0x324db7E0...1E77E3330,False,0xe1Ac7860...27E1350cA,0.05823109,0.00167518
0xad5363bc4b6d09b9ed834754ecac587cc2601f0f5ec4cc5dc62f4d9b384b75b2,Transfer,19384544,2024-03-07 16:39:23,0x6e64ABa4...A8dC56A23,False,0x610367a4...080f532F2,0.007393354,0.00167518
0x67af61a866f2d2f6a5466dadbe916bc6d09f8e2eeb7100b21068387aff146d8f,Transfer,19384544,2024-03-07 16:39:23,0xc61D909C...30250AB38,False,0x64b7F9Fb...d428C85cF,0.01957556,0.00167518
0x9476fba126c0e1d1a5b8926e711df540b879c7aa32de04c7cd082efb91a33c26,Transfer,19384544,2024-03-07 16:39:23,0x5933f530...5DFC49A6e,False,0xDf8DD5e0...8fE602Cb3,0.187772744,0.00167518
0xaab8a2b7fabf5f13ebe61a7a6ba24ee429eaa3ed6b42093d5865fb5ccf05417f,Transfer,19384544,2024-03-07 16:39:23,0x3119F01A...3c9C308fe,False,Blast: L1 Bridge Proxy,0.1,0.01206171
0xde18b10bdfe85d0a88c38df5d2e05dda5eb78bb729bd2d4512db694336194a05,Transfer,19384544,2024-03-07 16:39:23,0xC6F900Dd...6786924dd,False,0x43BdB443...330BB5E36,0.4,0.00167518
0x749e466384ca2ca0250b70d46dae29b0b7697323113a2b6582d859e70a3bf9e2,Transfer,19384544,2024-03-07 16:39:23,0x49653bD1...4235AEDf0,False,0x526250Bd...7172D6B76,0.064959296,0.00167518
0x20871bedd5056d185bc7fdde8def4ee9351564165047083a08468cf0d793c6f3,Transfer,19384544,2024-03-07 16:39:23,0xB2765cF1...f98AeCb42,True,0xB2765cF1...f98AeCb42,0.0,0.0016752
0x86489ea34c81d6e0e65b462059d461badc26e7e51f7f1fef490f701d5b1b9a02,Transfer,19384544,2024-03-07 16:39:23,0x45132108...B072401cF,False,0xCf0e2E9A...A5eFA9b61,0.134,0.0016752
0xdb61d84a78f5b59545a8f94e04d051cdfe59e95fc77b891c7f2576e3ecad852d,Transfer,19384544,2024-03-07 16:39:23,0x36Ec87E8...0faFd2fAC,False,0x6529B19c...FD06f8C63,0.008096429,0.0016752
0x58dcae21b282b6ea48e1be86720a50a96eaa3df02b21ea4185028e4e4f32f487,Transfer,19384544,2024-03-07 16:39:23,0x04DeccD8...E211c60D5,False,0xE6ac6D8C...C465da72f,0.439649005,0.0016752
0x96588282bf6b58c2b64bd40acf2ffa8033f6888fbaf7319a215e3687d63008c3,Transfer,19384544,2024-03-07 16:39:23,0x811a53Ae...d8d252355,False,0xa324a071...51dAd8f43,3.5838e-05,0.0016752
0xab90b867d41ca5cc9075629fdcd51974de02488529ce4b079ec641486e46b86d,Transfer,19384544,2024-03-07 16:39:23,0xE87040de...8619870A4,False,0xfE78e7D5...063Ba0Ece,1.0,0.0016754
0x47031ba44e4c2044b48cc715be125c3df83458a518bf44a1dec25c87603a1876,Transfer,19384544,2024-03-07 16:39:23,0xa282738E...10f10e759,False,0x2729D471...71e714628,0.1519,0.00167603
0xa720b5407b53e8367926608f7fc3594ea0090414f22745879d73d9e3d137d409,Transfer,19384544,2024-03-07 16:39:23,0xEf4f8160...224b11Bcc,False,0xABaDac6f...1CbC96898,0.577288912,0.00167603
0xb220a58a28d0af1d0b27318c8322f19fc694013c5dcade89b79f792a2966135f,Transfer,19384544,2024-03-07 16:39:23,0x3f150094...9547E0cbB,False,0x371D7F2a...fb512A4C3,0.0465,0.00167624
0x11dff00ad61864616891e2c7c9481fc46b4d74d8425de30325692d2a833a61d4,Transfer,19384544,2024-03-07 16:39:23,Newton,False,0xCBe56f4B...8D4520843,0.038772004,0.00167666
0xf247747938c6c666b3c3f3288316ad7248c626219b76b488778ebd73ea92dc4d,Transfer,19384544,2024-03-07 16:39:23,0x3f3a2685...E5Bcf1390,False,0x72642C98...02dE20171,0.569401004,0.00167666
0xa9366dbf2e61d71744dde016a1b8eb15bcf7a2d83e266578db767e4cfef0c7e0,Transfer,19384544,2024-03-07 16:39:23,0x2bb7848C...157985Fb8,False,0x8cf5fD4c...67b8aB086,0.0052,0.00168
0x8f9a305175b0e1a2d968e2f9ca9c1a49104fb6c17d56ed047187708f7f545965,Transfer,19384544,2024-03-07 16:39:23,0x9c84475E...068f46ffe,False,0x3d602652...F9a936a3F,0.144907926,0.00168392
0xdc6ab7eb6097e9a8312999e9fd505b1a40302d6bb67b9c499a690b941ceaa3e7,Transfer,19384544,2024-03-07 16:39:23,0x41B3eff2...8400f91C1,False,0xa212F7EA...0e3142D39,0.00216809,0.00168485
0xd056ba9160ee1fddddf1cfb02196239a8eee7b419926d58c67626bf30893cf10,Transfer,19384544,2024-03-07 16:39:23,0x9bba4D78...000F81CAa,False,0x787B8840...73B00C6cA,0.421858887,0.00169145
0xbad8726537f784758a2e9dce13adae911981e4fe10bf52104b58be3b9833dc91,Transfer,19384544,2024-03-07 16:39:23,Stake.com,False,0xAC2e95C9...f9eC6501e,0.169145315,0.00169145
0x34becb11f293c1f70db3a71959cd9a9d004823b629020ca2c392923b2c903627,Transfer,19384544,2024-03-07 16:39:23,Roobet: Hot Wallet,False,0x84c10C85...91d3b3D31,0.029570523,0.00169145
0xa73ca79d363815aec402db17b0370a10d17d2ae65aeccf2d356929c7cb499d45,Transfer,19384544,2024-03-07 16:39:23,Robinhood 3,False,0xB2F5316f...e047c9727,0.261355605,0.00169535
0x9423c87c55a2170417d7f1798e85c9c73b6a36ca14f4928b7a0df9dc93a655b2,Transfer,19384544,2024-03-07 16:39:23,0xD911A53d...5BcB5004F,False,0xb6FD1343...2889Bb85C,0.012622888,0.00169535
0x2529ea815d3a7cbb4e6232c0add0a537f9f3a0b703a092dae73c31c9387d21af,Transfer,19384544,2024-03-07 16:39:23,0x3543D5dc...7Ec63D87e,False,0x7DBB4bdC...80d0959E0,1.897269764,0.00169535
0xbb98ead12c13a4d72106bb4cc37428eb6d85ec2a334f70b9eeb191137e9f9495,Transfer,19384544,2024-03-07 16:39:23,0xb23360CC...9C8D7c460,False,0xB5Cef388...7Afa74473,0.0111291,0.00169535
0xdefa5b4c949ac4334be3506f3f18959c083f8c35894d78ce88565ab65f790df5,Transfer,19384544,2024-03-07 16:39:23,0x4c9AF439...a6b2803A8,False,0xc801fE1D...D836C979e,0.064862,0.00169535
0x313823d81c0f78a7d841e6602d21356da42a288e98095a709c642b7638599368,Transfer,19384544,2024-03-07 16:39:23,0xDf63F560...f9998C2C8,False,0x47F397E7...0379aDb76,0.024471872,0.00170585
0xd51f0f50d78de6392bf2e0930db3f7e4f58a1c470038003ea59d007e87835f2d,Transfer,19384544,2024-03-07 16:39:23,0xFE430237...da636C2D9,False,0x2A6030D0...826ea2946,0.018960891,0.00170585
0xc9b30d0ba2a66ca452c8af052049d9e90ab6c14cf3ad8b8bb01c68a6dc199aec,Transfer,19384544,2024-03-07 16:39:23,0xbd0fCcdC...7C77A5BEC,False,0x09018B95...84e643a22,0.17087393,0.00171635
0x8d3bf517721e214f9433e13be785f6e06ff6d0310a6a6786bf5f5d6e48ae8b86,Transfer,19384544,2024-03-07 16:39:23,0x808d0aeE...8c9cCDBA4,False,0xE71955d8...3c0E2897e,0.1349357,0.00171635
0xc5d523b68af3e9a997c7d076df07f2c0cd0921b411ed1b908a2e637ea8748447,Transfer,19384544,2024-03-07 16:39:23,0x982e4f56...47d5E652C,False,0x1bD52654...bA60CF0A6,0.004,0.00171635
0x11c42838d99f8a1458ceebf1e35d09dc94fb87f0b057b6881952b7281f5102f7,Transfer,19384544,2024-03-07 16:39:23,Binance 14,False,0xa3B03e1B...21065d8A7,0.0063,0.00171635
0xc84b58019393e066011e988acd9e3a8f31f357797c0f1c2227213646ef8910b1,Transfer,19384544,2024-03-07 16:39:23,Binance 16,False,0xF910450e...EDD8543A7,2.9963,0.00171635
0xdc3480e22cc95e1e202520d22875d50b0ba36f27d0d21498b85e59469b2c319e,Transfer,19384544,2024-03-07 16:39:23,0x8FE7CACB...01D58DB6A,False,0x70DcCbF7...EBd2168Ad,0.339872,0.00172055
0x6cf32f675de444d751e24e347d9b2024c16276bb540d63156760707600c95d16,Transfer,19384544,2024-03-07 16:39:23,0x0dD294eB...6fd861773,False,0x3ABFaEA6...90f84a44b,0.0115,0.00172211
0xf3a25dbeb5bdcfd5412361b87f300efd9a27e87352aff8d2a46c684b647b5a6a,Transfer,19384544,2024-03-07 16:39:23,0x404152d3...F98Dc2806,False,0xB8EE72c8...c4086bC72,0.01,0.00172211
0x937f5a35c823696157714acc74f8405501cb37e4c0ef97530b3ae50d20319012,Transfer,19384544,2024-03-07 16:39:23,0xaAf01DEC...17BAa78E8,False,0xE3D66324...2Ba1cA185,0.002608316,0.00174692
0x2e95b826af8af98e2edc0ab89d3805444ca31b4f574e0fa08e1cb30b5d7572ee,Transfer,19384544,2024-03-07 16:39:23,0x264bd829...6715997B5,False,0x97fE873E...f4294Ec23,0.01228733,0.00175438
0x148e9977a1a3eba40caa1ca4ee14fa1da777680db35fd20cd1a0ce2912b71343,Transfer,19384544,2024-03-07 16:39:23,0x787B8840...73B00C6cA,False,0x64dA6270...2F070C235,0.650749981,0.00175438
0x518af4d7cc140348b5a8c8c34e8810ffecfbc840a22f521e4d18bbd6f7900e7b,Transfer,19384544,2024-03-07 16:39:23,0xCfC0F98f...85e55aB33,False,0xf6Ec451e...865035544,0.119538,0.00175829
